全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131091,,東京都,品川区,はたのだい子ども食堂,ハタノダイコドモショクドウ,,,品川区旗の台3-2-9ぷらりす湯〜亀・SUN3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,かもめこども食堂,カモメコドモショクドウ,,,品川区東品川１－２９－６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,レガーメ子ども食堂,レガーメコドモショクドウ,,,品川区戸越６-５-５ SMK株式会社内「Chai夢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,西大井ひかり食堂,ニシオオイヒカリショクドウ,,,品川区西大井２－４－４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,まるごはんこども食堂,マルゴハンコドモショクドウ,,,品川区西五反田４－３１－２３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,かみしながわ食堂,カミシナガワショクドウ,,,品川区南品川４－１５－１１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,こども食堂はなおか,コドモショクドウハナオカ,,,品川区東品川３－３２－１０　東品川ゆうゆうプラザ１F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,しーしーきっちん子ども食堂,シーシーキッチンコドモショクドウ,,,品川区南品川２－９－２　「しこみ処」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,こどもダイニングほかげ,コドモダイニングホカゲ,,,品川区中延６－１－２１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131091,,東京都,品川区,子ども食堂ひよこ,コドモショクドウヒヨコ,,,品川区八潮５－１０－２７　八潮地域センター　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
