全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131199,,東京都,板橋区,「上二テラス」ランチタイム,「カミニテラス」ランチタイム,,,板橋区向原3-1-12,上板二中家庭科室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,ななテラスこども食堂,ナナテラスコドモショクドウ,,,板橋区向原3-7-7,レストラン＆地域交流スペースななテラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流こども食堂　若木,ソンポリュウコドモショクドウワカギ,,,板橋区若木3-3-1,そんぽの家ｓ板橋若木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流子ども食堂　奈美木成増,ソンポリュウコドモショクドウナミキナリマス,,,板橋区赤塚3-13ｰ1,そんぽの家ｓ奈美木成増,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流子ども食堂　赤塚公園,ソンポリュウコドモショクドウアカツカコウエン,,,板橋区大門7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,株式会社コスモメイトサービス,カブシキガイシャコスモメイトサービス,,,板橋区赤塚新町3-32-11-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流子ども食堂,ソンポリュウコドモショクドウ,,,板橋区徳丸6-1-11,そんぽの家板橋徳丸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,福まね嬉　こども食堂,フクマネキコドモショクドウ,,,板橋区徳丸3-29-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,カフェひびき（誰でも食堂）,カフェヒビキダレデモショクドウ,,,板橋区徳丸6-13-18,みんなの広場ひびき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPOの子ども食堂,ソンポノコドモショクドウ,,,板橋区赤塚新町2-7-16,ラヴィーレ光が丘公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,くじらハウス赤塚こども食堂,クジラハウスアカツカコドモショクドウ,,,板橋区赤塚7-26-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,こども食堂　ニクビッタ,コドモショクドウニクビッタ,,,"板橋区徳丸1-7-12 シールドB1F ",ニクビッタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
