全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131113,AA0100000024,,,こども＆ｼﾆｱ　もりもり食堂,コドモアンドシニアモリモリショクドウ,,,東京都大田区大森西2-2-1 ﾌﾟﾗﾑﾊｲﾂ大森西集会室																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000025,,,こども食堂おやこｷｯﾁﾝ,コドモショクドウオヤコキッチン,,,東京都大田区大森西2-2-1 ﾌﾟﾗﾑﾊｲﾂ大森西集会室																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000026,,,きょうもおいで,キョウモオイデ,,,東京都大田区大森西5-29-22 大森駅高架下渋谷ﾌﾞﾚﾝﾄﾞ株式会社内																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000027,,,はちみつ食堂,ハチミツショクドウ,,,東京都大田区東蒲田1-20-3-102 ひがしかまた本の部屋																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000028,,,感動こども食堂,カンドウコドモショクドウ,,,東京都大田区西蒲田7-5-12 蒲田中央ﾋﾞﾙ2階 ﾋﾞｽﾄﾛｱｼﾞﾙ蒲田店																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000029,,,だんだんﾜﾝｺｲﾝこども食堂,ダンダンワンコインコドモショクドウ,,,			東京都大田区東矢口1-17-9 気まぐれ八百屋だんだん																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000030,,,いちご食堂,イチゴショクドウ,,,東京都大田区下丸子3-8-15 渡部ﾋﾞﾙ201 NPO法人一期JAM																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000031,,,VICｽﾏｲﾙｷｯﾁﾝ,ビックスマイルキッチン,,,東京都大田区矢口2-1-18 東京ﾗｲﾄﾊｳｽﾁｬｰﾁ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000032,,,万人こども食堂,バンニンコドモショクドウ,,,			東京都大田区新蒲田3-4-28																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000033,,,子ども食堂やんやん,コドモショクドウヤンヤン,,,東京都大田区新蒲田2-1-13 森井ﾋﾞﾙ103																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000034,,,ﾕﾆﾊﾞｰｻﾙこども食堂,ユニバーサルコドモショクドウ,,,東京都大田区南六郷1-34-4 7号棟																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000035,,,おおたﾗｰﾒﾝこども食堂（南六郷）,オオタラーメンコドモショクドウミナミロクゴウ,,,東京都大田区南六郷2-35-1-121 南六郷二丁目団地																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000036,,,おおたﾗｰﾒﾝこども食堂（本羽田）,オオタラーメンコドモショクドウホンハネダ,,,			東京都大田区本羽田1-12-9 本羽田一丁目町会会館																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000037,,,大森東しあわせ食堂,オオモリヒガシシアワセショクドウ,,,東京都大田区大森東4-6-15 城南保健生協前スペース																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000038,,,おうち食堂ﾈｯﾄﾜｰｸ,オウチショクドウネットワーク,,,東京都大田区羽田3町目																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000039,,,ひこうき食堂,ヒコウキショクドウ,,,			東京都大田区新蒲田1-18-16 ｶﾑｶﾑ新蒲田																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000040,,,ﾄｰｷｮｰｺｰﾋｰ大田区　かぞく食堂,トーキョーコーヒーオオタクカゾクショクドウ,,,東京都大田区大森東1-28-9 美原文化ｾﾝﾀｰ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000041,,,SOMPO流子ども食堂（そんぽの家　大鳥居）,ソンポリュウコドモショクドウ（ソンポノイエ　オオトリイ）,,,東京都大田区西糀谷3-32-2 そんぽの家 大鳥居																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000042,,,SOMPO流子ども食堂（そんぽの家　東六郷）,ソンポリュウコドモショクドウ（ソンポノイエ　ヒガシロクゴウ）,,,東京都大田区東六郷1-19-1 そんぽの家 東六郷																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000043,,,SOMPO流子ども食堂（そんぽの家S　西糀谷）,ソンポリュウコドモショクドウ（ソンポノイエエス　ニシコウジヤ）,,,			東京都大田区西糀谷3-32-15 そんぽの家S 西糀谷																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000044,,,SOMPO流子ども食堂（そんぽの家S　羽田）,ソンポリュウコドモショクドウ（ソンポノイエエス　ハネダ）,,,東京都大田区羽田2-2-11 そんぽの家S 羽田																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000045,,,SOMPO流子ども食堂（ﾗｳﾞｨｰﾚ羽田）,ソンポリュウコドモショクドウ（ラウ゛ィーレハネダ）,,,東京都大田区東糀谷5-19-18 ﾗｳﾞｨｰﾚ羽田																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000046,,,SOMPO流子ども食堂（ﾗｳﾞｨｰﾚ多摩川）,ソンポリュウコドモショクドウ（ラウ゛ィーレタマガワ）,,,東京都大田区多摩川2-13-22 ラヴィーレ多摩川																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000047,,,南六未来食堂,ナンロクミライショクドウ,,,東京都大田区南六郷2-35-1-121 南六郷2丁目団地																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000048,,,みんなの食堂,ミンナノショクドウ,,,東京都大田区上池台1-13-4 関口ﾋﾞﾙ1階 もなりざ邸																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000049,,,羽田のこのこ食堂,ハネダノコノコショクドウ,,,東京都大田区萩中2-11-5-1F 羽田のこのこ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000050,,,ﾄﾘﾔｷ大学こども食堂,トリヤキダイガクコドモショクドウ,,,東京都大田区蒲田5-19-15 蒲田東口中央ﾋﾞﾙ2階																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000051,,,子ども食堂ママちゃんち,コドモショクドウママチャンチ,,,東京都大田区中央3丁目																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000052,,,えんむすび,エンムスビ,,,東京都大田区南六郷1-34-4 5号棟																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113,AA0100000053,,,ﾌｰﾄﾞﾊﾞﾝｸ大田芋やぽんぽこ子ども食堂,フードバンクオオタイモヤポンポココドモショクドウ,,,東京都大田区中央4-32-8 焼き芋店芋やぽんぽこ																																								,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
