全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
132012,,東京都,八王子市,わたげ食堂,ワタゲショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,大塚だれでも食堂,オオツカダレデモショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,おやじ食堂,オヤジショクドウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,ぽまる場,ポマルバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,Coder Dojo 八王子,コーダードージョーハチオウジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,八王子つばめ塾,ハチオウジツバメジュク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,すまいる学習塾,スマイルガクシュウジュク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,無料塾アハ,ムリョウジュクアハ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,フードバンク八王子えがお,フードバンクハチオウジエガオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,フードバンク八王子,フードバンクハチオウジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,フードバンクTAMA,フードバンクタマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,慈有塾,ジユウジュク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,まちの図書室・まちの保健室　おさんぽ,マチノトショシツ・マチノホケンシツオサンポ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132012,,東京都,八王子市,start up あさひ塾,スタートアップアサヒジュク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
